sys:1: FutureWarning: In a future version of pandas all arguments of read_csv except for the argument 'filepath_or_buffer' will be keyword-only
WARNING:tensorflow:From Whitemodel.py:64: The name tf.reset_default_graph is deprecated. Please use tf.compat.v1.reset_default_graph instead.

(3961, 3)
(3845, 1)
(3845, 3)
2022-04-06 13:54:34.213350: I tensorflow/core/platform/cpu_feature_guard.cc:145] This TensorFlow binary is optimized with Intel(R) MKL-DNN to use the following CPU instructions in performance critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in non-MKL-DNN operations, rebuild TensorFlow with the appropriate compiler flags.
2022-04-06 13:54:34.214675: I tensorflow/core/common_runtime/process_util.cc:115] Creating new thread pool with default inter op setting: 4. Tune using inter_op_parallelism_threads for best performance.
   sulphates   alcohol        pH
# 156000 Cost:  0.7086661
# 157000 Cost:  0.7079751
# 158000 Cost:  0.70728606
# 159000 Cost:  0.7065995
# 160000 Cost:  0.70591515
# 161000 Cost:  0.7052375
# 162000 Cost:  0.70457625
# 163000 Cost:  0.70392025
# 164000 Cost:  0.7032714
# 165000 Cost:  0.7026259
# 166000 Cost:  0.7019826
# 167000 Cost:  0.7013415
# 168000 Cost:  0.700702
# 169000 Cost:  0.7000667
# 170000 Cost:  0.6994336
# 171000 Cost:  0.6988021
# 172000 Cost:  0.69817334
# 173000 Cost:  0.69755316
# 174000 Cost:  0.69694465
# 175000 Cost:  0.6963382
# 176000 Cost:  0.6957334
# 177000 Cost:  0.6951307
# 178000 Cost:  0.69452953
# 179000 Cost:  0.6939343
# 180000 Cost:  0.69334364
# 181000 Cost:  0.6927591
# 182000 Cost:  0.6921765
# 183000 Cost:  0.6915962
# 184000 Cost:  0.69102067
# 185000 Cost:  0.6904479
# 186000 Cost:  0.6898796
# 187000 Cost:  0.689324
# 188000 Cost:  0.68877023
# 189000 Cost:  0.68821836
# 190000 Cost:  0.68766814
# 191000 Cost:  0.6871199
# 192000 Cost:  0.6865736
# 193000 Cost:  0.6860288
# 194000 Cost:  0.68548566
# 195000 Cost:  0.684945
# 196000 Cost:  0.68440986
# 197000 Cost:  0.6838764
# 198000 Cost:  0.68334985
# 199000 Cost:  0.6828253
# 200000 Cost:  0.6823029
# 201000 Cost:  0.6817941
# 202000 Cost:  0.68128973
# 203000 Cost:  0.68078744
# 204000 Cost:  0.68028635
# 205000 Cost:  0.67978746
# 206000 Cost:  0.67929363
# 207000 Cost:  0.67880106
# 208000 Cost:  0.6783104
# 209000 Cost:  0.6778211
# 210000 Cost:  0.67733353
# 211000 Cost:  0.67684764
# 212000 Cost:  0.67636317
# 213000 Cost:  0.6758802
# 214000 Cost:  0.67540425
# 215000 Cost:  0.67493165
# 216000 Cost:  0.67445946
# 217000 Cost:  0.673989
# 218000 Cost:  0.6735204
# 219000 Cost:  0.6730591
# 220000 Cost:  0.67260545
# 221000 Cost:  0.67215645
# 222000 Cost:  0.6717092
# 223000 Cost:  0.6712633
# 224000 Cost:  0.6708187
# 225000 Cost:  0.6703778
# 226000 Cost:  0.6699429
# 227000 Cost:  0.66951007
# 228000 Cost:  0.6690799
# 229000 Cost:  0.66865367
# 230000 Cost:  0.6682286
# 231000 Cost:  0.667805
# 232000 Cost:  0.667386
# 233000 Cost:  0.6669712
# 234000 Cost:  0.6665572
# 235000 Cost:  0.6661449
# 236000 Cost:  0.665734
# 237000 Cost:  0.66532433
# 238000 Cost:  0.66491574
# 239000 Cost:  0.6645086
# 240000 Cost:  0.66410315
# 241000 Cost:  0.6637044
# 242000 Cost:  0.6633069
# 243000 Cost:  0.66291165
# 244000 Cost:  0.66252154
# 245000 Cost:  0.66213626
# 246000 Cost:  0.6617522
# 247000 Cost:  0.6613691
# 248000 Cost:  0.6609875
# 249000 Cost:  0.6606132
# 250000 Cost:  0.66024023
# 251000 Cost:  0.6598689
# 252000 Cost:  0.65949875
# 253000 Cost:  0.65913147
# 254000 Cost:  0.65876824
# 255000 Cost:  0.65840614
# 256000 Cost:  0.6580503
# 257000 Cost:  0.65769565
# 258000 Cost:  0.6573424
# 259000 Cost:  0.65698993
# 260000 Cost:  0.6566389
# 261000 Cost:  0.6562886
# 262000 Cost:  0.6559399
# 263000 Cost:  0.6555922
# 264000 Cost:  0.65524817
# 265000 Cost:  0.65490794
# 266000 Cost:  0.6545686
# 267000 Cost:  0.65423125
# 268000 Cost:  0.65389746
# 269000 Cost:  0.6535647
# 270000 Cost:  0.65323293
# 271000 Cost:  0.65290564
# 272000 Cost:  0.65257984
# 273000 Cost:  0.6522551
# 274000 Cost:  0.65193486
# 275000 Cost:  0.6516206
# 276000 Cost:  0.65130836
# 277000 Cost:  0.6509968
# 278000 Cost:  0.6506864
# 279000 Cost:  0.65037715
# 280000 Cost:  0.6500686
# 281000 Cost:  0.6497612
# 282000 Cost:  0.6494564
# 283000 Cost:  0.6491589
# 284000 Cost:  0.6488622
# 285000 Cost:  0.6485658
# 286000 Cost:  0.6482703
# 287000 Cost:  0.64797604
# 288000 Cost:  0.6476822
# 289000 Cost:  0.6473898
# 290000 Cost:  0.64709806
# 291000 Cost:  0.6468074
# 292000 Cost:  0.64651763
# 293000 Cost:  0.64622915
# 294000 Cost:  0.6459489
# 295000 Cost:  0.6456716
# 296000 Cost:  0.64539516
# 297000 Cost:  0.6451198
# 298000 Cost:  0.644845
# 299000 Cost:  0.6445721
# 300000 Cost:  0.6443031
